,B,C,E,E_se,M,M_se,S,T,X,type
0,0.6666666666666667,0.0,-1.5,0.0,1.0,0.0,0.08578467724621547,0.2,0.0,"1.5D, 6x2x1 spins"
0,0.6666666666666667,0.0,-2.0,0.0,1.0,0.0,-1.0939892024460212,0.2,0.0,"2D, 10x10x1 spins"
0,0.6666666666666667,0.0,-1.0,0.0,1.0,0.0,0.1679194402090521,0.2,0.0,"1D, 6x1x1 spins"
0,0.6630599494476663,0.046636932530997634,-2.2950609760802467,2.545064633658168e-05,0.8562793209876544,0.04417880068983796,1.0516152098661986,0.2,0.009758832151962129,"2.5D, 12x12x2 spins"
0,0.6666666666666667,0.0,-1.5,0.0,1.0,0.0,0.0627941897694602,0.2,0.0,"1.5D, 8x2x1 spins"
0,0.6048469011552569,0.0005987959859374999,-1.10010325,7.738200584962935e-06,0.32860300000000003,0.08728448253269308,2.4369653856094504,0.2,0.038092904455,"1.5D, 20x2x1 spins"
0,0.6666666666666667,0.0,-2.5,0.0,1.0,0.0,-0.1809486970587504,0.2,0.0,"2.5D, 6x6x2 spins"
0,0.6666666666666667,0.0,-1.0,0.0,1.0,0.0,0.08288161121668065,0.2,0.0,"1D, 12x1x1 spins"
0,0.6666666667,0.0,-2.0,0.0,1.0,0.0,0.0652006014,0.2,0.0,"2D, 4x4x1 spins"
0,0.6666666666666667,0.0,-1.5,0.0,0.25,0.0,3.0231770914182206,0.2,0.0,"2D, 8x8x1 spins"
0,0.6666666666666667,0.0,-1.0,0.0,1.0,0.0,0.1329764298188938,0.2,0.0,"1D, 8x1x1 spins"
0,0.6666666666666667,0.0,-1.5,0.0,1.0,0.0,-0.25454024126645225,0.2,0.0,"1.5D, 12x2x1 spins"
0,0.6666666666666667,0.0,-2.5,0.0,1.0,0.0,-0.10322538353082963,0.2,0.0,"2.5D, 8x8x2 spins"
0,0.6601685341179684,0.029681414298699325,-2.063854955,2.436449430602405e-05,0.5453491549999999,0.03819812025199645,1.8045070379179748,0.2,0.007295481953929908,"2.5D, 10x10x2 spins"
0,0.4372275824882068,3.499510000000001e-05,-1.0999860000000001,2.6455727159303297e-06,0.375801,0.18036409952925772,2.4546084903068595,0.2,0.16265604199499994,"1.5D, 10x2x1 spins"
0,0.6666666666666667,0.0,-2.0,0.0,1.0,0.0,0.03151130533503374,0.2,0.0,"2D, 6x6x1 spins"
0,0.6666666666666667,0.0,-1.0,0.0,1.0,0.0,0.02345258896009084,0.2,0.0,"1D, 40x1x1 spins"
0,0.6666666666666667,0.0,-1.0,0.0,1.0,0.0,0.04587996261951554,0.2,0.0,"1D, 20x1x1 spins"
0,0.6666666666666667,0.0,-1.0,0.0,1.0,0.0,0.09817471694719107,0.2,0.0,"1D, 10x1x1 spins"
0,0.03256331491249553,7.812109375000014e-07,-1.29999875,1.9763753616341378e-07,0.017227812500000002,0.023760510336792932,0.9167536908380308,0.2,0.0028228092573242174,"1.5D, 40x2x1 spins"
0,0.6666666666666667,0.0,-2.0,0.0,1.0,0.0,-0.3105686330270756,0.2,0.0,"2D, 12x12x1 spins"
1,0.6666666667,0.0,-2.0,0.0,1.0,0.0,0.0652006014,0.3,0.0,"2D, 4x4x1 spins"
1,0.6666666666666667,0.0,-2.5,0.0,1.0,0.0,-0.18032026302402304,0.30000000000000004,0.0,"2.5D, 12x12x2 spins"
1,0.6666666666666667,0.0,-2.5,0.0,1.0,0.0,-0.8172608517894964,0.30000000000000004,0.0,"2.5D, 10x10x2 spins"
1,0.6666666666666667,0.0,-2.0,0.0,1.0,0.0,-0.31056863302707305,0.30000000000000004,0.0,"2D, 12x12x1 spins"
1,0.6666666666666667,0.0,-2.5,0.0,1.0,0.0,-0.18094869705875294,0.30000000000000004,0.0,"2.5D, 6x6x2 spins"
1,0.6666666666666667,0.0,-1.5,0.0,1.0,0.0,0.03309431022355856,0.30000000000000004,0.0,"1.5D, 20x2x1 spins"
