,B,C,E,E_se,M,M_se,S,T,X,type
0,0.6666666667,0,-2,0,1,0,0.0652006014,0.2,0,"2D, 4x4x1 spins"
1,0.6666666667,0,-2,0,1,0,0.0652006014,0.3,0,"2D, 4x4x1 spins"
2,0.6666666667,0,-2,0,1,0,0.0652006014,0.4,0,"2D, 4x4x1 spins"
3,0.6666666667,0,-2,0,1,0,0.0652006014,0.5,0,"2D, 4x4x1 spins"
4,0.6666666667,0,-2,0,1,0,0.0652006014,0.6,0,"2D, 4x4x1 spins"
5,0.666664378,6.37675382653061E-005,-1.9999375,1.39745950387002E-005,0.999984375,0.0013974551,0.0653401478,0.7,2.78982979910714E-006,"2D, 4x4x1 spins"
6,0.6666497377,0.0003609939,-1.9995375,3.79997975105305E-005,0.999884375,0.0037999679,0.0661130201,0.8,1.80496948242188E-005,"2D, 4x4x1 spins"
7,0.6666062027,0.0009488051,-1.9985265625,6.93062456731572E-005,0.9996203125,0.0072787937,0.0678348303,0.9,5.88675971137153E-005,"2D, 4x4x1 spins"
8,0.6665739954,0.0012430931,-1.997525,8.81440899316493E-005,0.9993773438,0.008910525,0.0693600545,1,7.93974554443359E-005,"2D, 4x4x1 spins"
9,0.6664034587,0.0028427608,-1.993496875,0.0001466237,0.998340625,0.0151676951,0.0749072579,1.1,0.0002091445,"2D, 4x4x1 spins"
10,0.6661543555,0.0044462519,-1.9876203125,0.0002000413,0.9967992188,0.0211488659,0.0822934706,1.2,0.0003727288,"2D, 4x4x1 spins"
11,0.665644186,0.0069054251,-1.9786640625,0.0002700722,0.994271875,0.0308695768,0.0926469461,1.3,0.0007330237,"2D, 4x4x1 spins"
12,0.6652003119,0.0088492658,-1.96768125,0.0003292479,0.99146875,0.0362105254,0.1043999935,1.4,0.000936573,"2D, 4x4x1 spins"
13,0.6642486528,0.0117026495,-1.9529140625,0.0004056717,0.9871070313,0.048726776,0.1191102768,1.5,0.0015828658,"2D, 4x4x1 spins"
14,0.6619234979,0.0175938066,-1.92510625,0.0005305682,0.1655023438,0.9666061407,0.1450199432,1.6,0.5839546445,"2D, 4x4x1 spins"
