,B,C,E,E_se,M,M_se,S,T,X,type
0,0.6666666666666667,0.0,-2.5,0.0,1.0,0.0,-0.18094869705875039,0.2,0.0,"2.5D, 6x6x2 spins"
1,0.6666666666666667,0.0,-2.5,0.0,1.0,0.0,-0.18094869705875297,0.30000000000000004,0.0,"2.5D, 6x6x2 spins"
2,0.6666666666666667,0.0,-2.5,0.0,1.0,0.0,-0.18094869705875297,0.4000000000000001,0.0,"2.5D, 6x6x2 spins"
3,0.6666666666666667,0.0,-2.5,0.0,1.0,0.0,-0.18094869705875297,0.5000000000000001,0.0,"2.5D, 6x6x2 spins"
4,0.6666665555190998,5.953080280783757e-06,-2.499984567901235,1.7252664357951061e-06,0.9999969135802469,0.00029278721974035354,-0.1809078800694281,0.6000000000000001,1.428739267388101e-07,"2.5D, 6x6x2 spins"
5,-87.4514629585171,0.000250461235843217,-1.832091975308642,1.3055765862051921e-05,0.0004081018518518519,0.008435116042196392,1.3103241800897965,0.7000000000000002,0.00010164454663616983,"2.5D, 6x6x2 spins"
6,0.666666569411343,2.9300724001051485e-06,-2.4999864969135803,1.6138501843330517e-06,0.999997299382716,0.0002738792680045195,0.019831170058969023,0.8000000000000003,9.376231680336424e-08,"2.5D, 6x6x2 spins"
7,0.6666654175249054,2.973149815195855e-05,-2.499826388888889,5.783423024168625e-06,0.9999652777777778,0.0009814787517432337,0.020103863107919413,0.9000000000000001,1.0703339334705066e-06,"2.5D, 6x6x2 spins"
8,0.6666618686212316,9.246655842764055e-05,-2.4993310185185185,1.1332517547452807e-05,0.9998662037037038,0.0019231906658221966,0.020858235283363964,1.0000000000000002,3.6986623371056232e-06,"2.5D, 6x6x2 spins"
9,0.6666581546222197,0.00013487282763091792,-2.4988190200617284,1.5055284606290121e-05,0.9997634645061729,0.0025615688511856044,0.021563317570893026,1.1000000000000003,5.965122708513031e-06,"2.5D, 6x6x2 spins"
10,0.6666480575145899,0.00024308122529527885,-2.497524228395062,2.204910714330904e-05,0.9995011574074074,0.0037903350256817867,0.023190732679950504,1.2000000000000004,1.197219967242512e-05,"2.5D, 6x6x2 spins"
11,0.6666277947662052,0.00042358005382122694,-2.4950042052469135,3.153153811829096e-05,0.9989866898148149,0.005479110892499226,0.026103893656520744,1.3000000000000003,2.309281244023359e-05,"2.5D, 6x6x2 spins"
12,0.6666029633822326,0.0005983298359322507,-2.491715972222222,4.0358258607134515e-05,0.9983222222222222,0.007009213757863954,0.02962273354405565,1.4000000000000004,3.509219821673523e-05,"2.5D, 6x6x2 spins"
13,0.666559373738699,0.0008539791034141129,-2.4868787037037037,5.165934963470579e-05,0.9973216049382716,0.009104610351910332,0.034441362015253725,1.5000000000000004,5.52626197734085e-05,"2.5D, 6x6x2 spins"
14,0.6664975872761467,0.001173987902124559,-2.4793928240740737,6.460793298839672e-05,0.9957879629629629,0.011411979715880384,0.04141625959794367,1.6000000000000003,8.13958006472908e-05,"2.5D, 6x6x2 spins"
15,0.6663686962540112,0.0017267600765447444,-2.4666109953703703,8.325282404491875e-05,0.9930810570987655,0.015169611945983751,0.052602459399096684,1.7000000000000004,0.00013536301564219582,"2.5D, 6x6x2 spins"
16,0.6662751608560886,0.0020210937422362463,-2.45680362654321,9.536736586441163e-05,0.9910232253086418,0.017329628017481228,0.06069423199695554,1.8000000000000005,0.00016684222623570568,"2.5D, 6x6x2 spins"
17,0.666087353844117,0.00255339435020842,-2.4389018518518517,0.00011314792681550496,0.9871530092592593,0.021011303877573065,0.074664870273306,1.9000000000000006,0.00023235520559774565,"2.5D, 6x6x2 spins"
18,0.6658450648251493,0.0031067411434038314,-2.4190592978395062,0.00013137616599182505,0.9827577546296298,0.02497900923232435,0.08935491522876784,2.000000000000001,0.00031197545111427244,"2.5D, 6x6x2 spins"
19,0.6655297949898925,0.0036673630956579593,-2.392880015432099,0.00014987538209793646,0.9768881944444444,0.029289584604797445,0.10778964805056694,2.1000000000000005,0.0004085141744388511,"2.5D, 6x6x2 spins"
20,0.6650905088074623,0.0044197786698325055,-2.3658445601851854,0.00017236813991169616,0.9707477237654322,0.03442795461588496,0.12594082164531392,2.200000000000001,0.0005387654813788335,"2.5D, 6x6x2 spins"
21,0.6638713004912439,0.006020724592227601,-2.320091242283951,0.0002103227590069968,0.9593011188271604,0.04736036474865301,0.1552922427699652,2.3000000000000007,0.0009752191952719364,"2.5D, 6x6x2 spins"
22,0.6635487200307826,0.00638818668287348,-2.2843537422839506,0.00022606539859726098,0.9512709490740741,0.0477537770844473,0.17724188732718618,2.400000000000001,0.0009501763440962846,"2.5D, 6x6x2 spins"
23,0.6626291086579523,0.007001932183001583,-2.2412126929012346,0.0002465375138360896,0.9406518904320988,0.05411371165300473,0.20265630001182233,2.500000000000001,0.0011713175155458153,"2.5D, 6x6x2 spins"
24,0.6592584093538727,0.0091021831039508,-2.1732949074074077,0.0002923345763043985,0.920505787037037,0.07800503401535402,0.24109643284509383,2.600000000000001,0.002340302050667899,"2.5D, 6x6x2 spins"
25,0.6584041010835107,0.009582325849499269,-2.1215023533950617,0.00031148223701813973,0.9082221836419753,0.07682187104853466,0.26930302560802144,2.700000000000001,0.002185777730147291,"2.5D, 6x6x2 spins"
26,0.6547932323326559,0.01081580179588834,-2.0479340277777776,0.0003431795850166665,0.29042523148148147,0.8423678169302654,0.3079109371119949,2.800000000000001,0.25342269249995025,"2.5D, 6x6x2 spins"
