,B,C,E,E_se,M,M_se,S,T,X,type
0,0.6666666666666667,0.0,-1.5,0.0,1.0,0.0,0.08578467724621548,0.2,0.0,"1.5D, 6x2x1 spins"
1,0.6666666666666667,0.0,-1.5,0.0,1.0,0.0,0.08578467724621548,0.30000000000000004,0.0,"1.5D, 6x2x1 spins"
2,0.6666666666666667,0.0,-1.5,0.0,1.0,0.0,0.08578467724621677,0.4000000000000001,0.0,"1.5D, 6x2x1 spins"
3,0.6666666666666667,0.0,-1.5,0.0,1.0,0.0,0.08578467724621613,0.5000000000000001,0.0,"1.5D, 6x2x1 spins"
4,0.666655257114626,0.0002545362654320988,-1.4998166666666668,2.7633587529598128e-05,0.9999388888888889,0.003190838544534015,0.08626958307940281,0.6000000000000001,1.6969084362139917e-05,"1.5D, 6x2x1 spins"
5,0.6665672375326197,0.0014844638093663388,-1.4985819444444444,7.785634892761234e-05,0.9995069444444445,0.009597812632587016,0.08902639964480559,0.7000000000000002,0.0001315971533289241,"1.5D, 6x2x1 spins"
6,0.6661305250927256,0.004319456874517743,-1.494963888888889,0.00015178041806577757,0.9979027777777777,0.024949018233238543,0.0960171373336371,0.8000000000000003,0.0007780668885030863,"1.5D, 6x2x1 spins"
7,0.6655410834312174,0.00690474233158055,-1.4898972222222222,0.00021588746868023977,0.9957083333333333,0.03637011549233692,0.10464659100413945,0.9000000000000001,0.0014697614454732512,"1.5D, 6x2x1 spins"
8,0.6631809553212744,0.01384418803819444,-1.4755708333333333,0.00033966041138404584,0.11748750000000001,0.983522426419284,0.1264634573304224,1.0000000000000002,0.9673163632696757,"1.5D, 6x2x1 spins"
9,0.661234185101971,0.018754454186753894,-1.4597125,0.0004348666335303386,0.8416097222222222,0.5111250947645507,0.14830225351187915,1.1000000000000003,0.23749896590733716,"1.5D, 6x2x1 spins"
10,0.6563954616647483,0.0265739314222715,-1.4348152777777778,0.0005647033154520572,0.010884722222222221,0.9740550000859888,0.17959540797149814,1.2000000000000004,0.7906526193270961,"1.5D, 6x2x1 spins"
11,0.6435297696732669,0.04176454812143873,-1.3765875,0.0007669347783774584,0.44423194444444447,0.8373991746373148,0.2469070475884726,1.3000000000000003,0.5394133674486585,"1.5D, 6x2x1 spins"
12,0.6329084296363816,0.04764814789619548,-1.3249777777777778,0.0008821902106694026,0.06186111111111111,0.9232762011840442,0.302136207984482,1.4000000000000004,0.6088849597663138,"1.5D, 6x2x1 spins"
